inID,Commentaire,star,source,company,index_org,star_org,date
347,"j ’ ai reçu ma commande avec 1 article en moins . je téléphone . on me rembourse . les 2 autres articles sont en 100 % polyester alors qu ’ ils sont décrits en lin et en soie . je demande à renvoyer ces articles . j ’ indique qu ’ ils sont non conformes . je signale qu ’ on ne m ’ a pas remboursé les frais de port de départ . on me les rembourse . on me rembourse les articles -6,5€ de frais de port car le service retour considère qu ’ ils sont conformes , on me demande une photo des étiquettes pour preuve . le discours est bien rodé . pas de photo -6,5€ . on me donne un bon de 5€ hors frais de port qui m ’ oblige à recommander chez eux . voilà comment showroom privé gagne facilement de l ’ argent en vous faisant passer pour une menteuse.j ’ ai reçu un message le lendemain de mon avis ici me disant que je serai contactée . pas de signe à ce jour . à suivre.toujours aucune nouvelle.c ’ est du blabla . j ’ ai fait un dernier achat avec le bon d ’ achat de 5€ . et c ’ est terminé.je raconterai mon expérience à qui veut bien l ’ entendre .... jamais eu d ’ appel de showroom privé .",1,TrustPilot,ShowRoom,367,1,2021-04-27 00:00:00+00:00
348,"mon dieu , société showroomprive à fuir ... commande ,223621093 de la contrefaçon et taille fause , les coupes ne sont pas égales ... les coutures ne s arrête pas au même endroit je précise que c est une veste , j ai attendu 2 semaines pour me retrouver une veste qui n ai pas à la taille mentionné , je suis nouveau client et ces ma deuxième commande avec problème , on m ' a juste proposer de retourner l article alors que je voulais cette article à la bonne taille , j ai demandé un geste commercial on m ' a proposé 10 euros que bien évidemment j ai refusé ! ! ! ! dommage que je peux pas publier les photos , mais je vais publier les photos sur d autres site et je pense porter plainte pour contrefaçon et vise caché ! ! ! un grand conseil ne commandé plus sur ce site ! ! ! ! !",1,TrustPilot,ShowRoom,368,1,2021-03-18 00:00:00+00:00
349,"attention showroom gonfle les prix de bases sur certains produits pour faire croire que la remise est exceptionnelle . j'ai eu plein de fois le cas mais dernièrement c'était un fdt d'une certaine marque qui était marqué à 35€ se base et avec une réduction de -70 % le produit revenait a 8€90 mais le soucis est que sur le site de la marque le même produit est à 14€ donc pourquoi mentir au consommateur ? quand tu les contactes pour comprendre , ils répondent à côté en disant qu'ils ne peuvent pas garantir les prix les plus bas du marché et c'est le jeu de la libre concurrence ? ? ? ? le rapport ? donc a eviter c'est limite si c'est légal de faire ça faudra que je me renseigne",1,TrustPilot,ShowRoom,369,1,2021-03-18 00:00:00+00:00
350,"acheter une armoire à chaussure à 108€ ( soit disant en promotion ) et recevoir un article d'aussi mauvaise qualité , c'est inadmissible . les prix affichés sont forcément erronés . sans parler du manque de pièces . le service client refuse de faire quoi que ce soit . plus jamais de commandes sur ce site !",1,TrustPilot,ShowRoom,370,1,2021-03-17 00:00:00+00:00
351,"je mets une étoile car il est impossible d'en mettre 0 ! je suis une cliente fidèle depuis des années mais là c'est terminé pour moi ! une véritable honte , depuis quelques mois quasiment la totalité de mes commandes ont été annulé ou arrivé abîmé ! je ne donne vraiment pas cher de showroom privé car entre la perte des colis et la fuite de la clientèle dans quelques mois c'est clef sous la porte ! ceux qui commandent encore devraient se méfier , le jour où ils ferment vos commandes ne vous arriveront jamais et vous ne serez pas remboursé ! ! ciao showroom et bonjour la concurrence ! !",1,TrustPilot,ShowRoom,371,1,2021-03-17 00:00:00+00:00
352,"j'ai acheté des écouteurs sans fil tws-t9 pour faire un cadeau . à l'ouverture du cadeau on a constaté qu'ils étaient défectueux . en recherchant la notice française sur internet qu'elle ne fut pas ma surprise , les écouteurs sont vendu en moyenne 29€ sur divers sites alors que moi je l'ai payé 57€ au lieu de soit disant 150€ . c'est carrément et tout simplement du vol ! ! !",1,TrustPilot,ShowRoom,372,1,2021-03-16 00:00:00+00:00
353,"il faut arrêter de commander chez showroom , ce sont de vrais nuls.si vous avez une question , vous envoyez un formulaire , pas de réponse , donc vous appelez le service client , qui décroche très vite , ça c ’ est certain , par contre c ’ est « je ne sais pas » « ah non je ne peux rien faire pour vous » . de vrais incapables.ma dernière expérience avec eux ( oui , car ce n ’ était pas la première chaotique ) je commande le 14/03/21 deux paires adidas pour 160€ , j ’ ai déménagé il y a peu , je le sais , j ’ attends l ’ étape où l ’ on me demande où je souhaite être livré pour modifier . cette étape n ’ est jamais arrivé . donc j ’ ai validé ma commande avec la mauvaise adresse sans le vouloir ! immédiatement j ’ essaye de modifier l ’ adresse ou d ’ annuler la commande mais « non modifiable » donc j ’ envoie un formulaire . pas de retour au bout de 2 jours , par contre , commande débitée . donc j ’ appelle le service client et on me répond « nous ne pouvons rien faire , la commande sera livrée à la mauvais adresse , retourner au fournisseur et vous serez remboursez ensuite » , génial ...",1,TrustPilot,ShowRoom,373,1,2021-03-16 00:00:00+00:00
354,"j ’ ai commandé un sèche-serviette ( commande 222886547 ) le 08/02 sur le site showroomprive.com . les photos du produit mettaient en avant un sèche-serviette 500w marque carrera couleur gris anthracite et la description présentait un produit blanc . ayant le bénéfice du doute et pensant à une erreur , je commande ce sèche-serviette que je pensais gris . une fois le colis arrivé , je me rends compte que le produit était blanc et non anthracite comme sur les photos du site . je demande donc au sav un retour du produit pour non-conformité aux photos du produit . de la débouche un long échange de mail ou il commence par me donner l ’ adresse mail du fabricant me demandant de voir directement avec eux un retour . l ’ adresse mail donnée ne fonctionnant pas , on me demande des photos du produit . et après de nombreux mails et de blabla , le sav m ’ annonce que les frais de retour sont ma charge et qu ’ il s ’ élève à un montant de 50€ , car le produit correspondait à sa description , même s ’ il ne correspondait pas aux photos . je suis consterné par leur manque de professionnalisme et par le montant exorbitant des frais de retour , en sachant que les frais de livraison à l ’ achat sont à une hauteur de 10€ et non 50€.je trouve cela scandaleux de vendre des produits , ne correspondant pas aux photos le mettant en avant , et de ne pas prendre en charge les frais de retour ou encore de demander une somme abusive pour procéder a un retour ! ! ! !",1,TrustPilot,ShowRoom,374,1,2021-03-17 00:00:00+00:00
355,"je commande assez régulièrement sur showroomprivée , malheureusement je trouve que leur service se dégrade de plus en plus . un manque de professionnalisme dans les livraisons surtout . exemples en 1 mois : 1 colis laissé à la vue de tous sous les boites aux lettres sans avis de passage , et une commande en partie annulée au dernier moment alors que le colis est sois disant déjà transmis au livreur ... la question de continuer à commander chez eux commence à se poser",2,TrustPilot,ShowRoom,375,2,2021-03-16 00:00:00+00:00
356,"voila plus d'un an que j'attends un remboursement pour un article , en effet on m'avais envoyer la mauvaise teinte , je le signale au service client jusqu ' a la tout va bien je fais le retour tout se passe bien mais la ou ca se complique c'est lorsque qu'il faut rendre l'argent a leur client j'ai du leur indiqué mes coordonnées bancaires pour qu'il procede au remboursement et a ce jour c'est toujours pas fais . certes il ne s'agit que de 8.90 euros et bien si ils font cela avec tous leurs clients je comprends mieux pourquoi les prix sont attractif sur leur site",1,TrustPilot,ShowRoom,376,1,2021-03-16 00:00:00+00:00
357,"depuis 1 ans j'ai eu plusieurs commandes de casser , de pas réceptionner parce que le livreur les avait avait pas livré au bonne endroit où même de perdu . aucun geste commercial ne m ' a été fait sur une dizaine de commandes qui se sont passées comme ça.je déconseille fortement .",1,TrustPilot,ShowRoom,377,1,2021-03-16 00:00:00+00:00
358,"j'ai commandé le 15/10/2020 une paire de bottines noires made in spain marque elodie .. le modèle reçu ne correspondait pas ... donc retourle 16/02/2021 j'ai recommandé la même paire de bottines ... le modèle ( la pointure , la couleur ) reçu ne correspondait en rien à ma commande.extrêmement déçue ! ! !",1,TrustPilot,ShowRoom,378,1,2021-03-15 00:00:00+00:00
359,"c'est une honte , une arnaque totale et un service après vente déplorable ... j'ai acheté des chaises le 6 février pour plus de 250 euros . elles sont defectueuses il a fallu 15 jours pour avoir un bon de retour et là je ne suis toujours pas remboursée c'est une honte , nous sommes le 15 mars . ils me mènent en bateau avec des mails d'excuses alors que j'ai envoyé la copie du dépôt et j'ai toujours rien.je n'en peux plus , ils ne me donnent pas les informations liées au service juridique que j'ai demandé et je souhaite sincèrement ne pas en rester là . je suis exedée ...",1,TrustPilot,ShowRoom,379,1,2021-03-15 00:00:00+00:00
360,"j'ai offert à ma femme un sac à main lamarthe d'une valeur de 150 euros pour noël . or 2 mois après , le clou d'une des 2 anses du sac s'est décroché ( je l'ai conservé ) . on téléphone au service réclamation hier et on nous dit que ce genre de produit n'est pas garanti et que showroom ne fera rien pour moi . je suis extrêmement déçu de l'absence de service après-vente . c'est la 1ere fois que je rencontre un problème et je me rends compte que le service est déplorable et que j'achète sans aucune protection . j'attends un geste commercial avant d'en tirer les conséquences .",1,TrustPilot,ShowRoom,380,1,2021-03-14 00:00:00+00:00
361,"j'ai commandé un service vaisselle , tout est arrivé cassé . le colis n'était pas du tout protégé ... manque de sérieux .",2,TrustPilot,ShowRoom,381,2,2021-03-13 00:00:00+00:00
362,"impossible d'avoir le service juridique , on vous déclare à chaque fois `` quelqu'un va vous rappeler '' mais personne à plus de 10 reprises ne m ' a contacté . séjour à disneyland pour 7 personnes , à notre arrivée l ’ hôtel est fermé pour travaux , aucune information de showroom mais il a fallu que l'on cherche seul l ’ hôtel de remplacement à pied avec 1 enfant de 4 ans et deux personnes de 70 et 73 ans et pour couronner le tout on nous annonce que l'on a doit à un seul jour au parc au lieu des deux payés . nous contactons le service client qui nous réponds envoyer un mail ( un vendredi à 17h personne va régler notre problème ) en rentrant nous contactons à nouveau le service client qui nous a mené en bateau pendant des semaines et a refusé de nous communiquer les coordonnées du service juridique et l'enregistrement lors de notre commande pour prouver nos dires . fuyez ce site si vous devez réserver vos vacances d'autres sites sont beaucoup plus compétent . j'ai écrit à 60 millions de consommateurs et à mon assistance juridique . affaire à suivre.numéro de réservation 208641403 / 9928050429",1,TrustPilot,ShowRoom,382,1,2021-03-26 00:00:00+00:00
363,"j'avais commandé une table basse . j'avais fait appelle à un paiement oney pour deux mensualités avec un accompte . j'ai payer mon accompte le mois de mars 2021 , puis je devais recevoir mon colis début avril je suppose une fois que j'aurais payé la dernière mensualité ce que je comprends . cependant j'ai reçu ce soir même un mail de oney pour m'annoncer que la commande était annulée et que je serais remboursé . d'ailleurs se serait showroom privé qui aurait annulé le paiement et la commande et même pas prévenue ... de plus la commande est sur le site encore en cours de préparation . alors pas cool pour une première commande surtout que je l'attendais avec impatience 😑",2,TrustPilot,ShowRoom,383,2,2021-03-12 00:00:00+00:00
364,"fidèle cliente , je ne vais plus l'être ! un pantalon mango acheté 12 euros ( même prix que sur le site mango mais vu trop tard ) . la taille ne ne convient pas et une odeur infâme de produits chimiques sort de l'emballage . résultat je veux faire un retour . on me demande 6 , 50 €de frais de retour ! ahurissant alors que j'ai déjà payé des frais d'envoi ... plus de la moitié du prix de l'article . tous les sites comme amazon , zalando , la redoute ne se permettrait pas un tel mépris du client . j'aurais dû l'acheter sur mango où là c'était gratuit ! ! fini showroom",2,TrustPilot,ShowRoom,384,2,2021-03-12 00:00:00+00:00
365,"j'ai commandé une table ( commande n° 224907314 ) le 07 mars 2021 que j'ai voulu annulé le 11 mars mais il est impossible de l'annuler ! ! ! dès que j'ai passé la commande elle est passée en statut en cours de préparation , j'appelle le sav et ils me disent que ce n'est pas annulable alors qu ' a l'achat c'était marqué vous avez 14 jours pour changer d'avis.ils me disent d'attendre la livraison pour refuser le colis ce qui engendra le remboursement , la livraison est prévue dans 20 jours.c'est quoi cette arnaque ? ? ? ? ? ! ! ! ! ! pourquoi marquer vous avez 14 jours pour changer d'avis si on ne peut annuler une commandec'est n'importe quoi ! ! ! ! il faut signaler ces abus au service de protection des consommateurs trop c'est trop !",1,TrustPilot,ShowRoom,385,1,2021-03-12 00:00:00+00:00
366,"bonjour , j'ai commandé le 4.03.2021 une montre stuhrling commande n°224683393 et je souscrit à l'abonnement infinity n°224683156 et je opte pour une paiement en 3 fois , le lendemain je reçoit un rejet de mes deux commande annulation de tout je ne savais pas pour quoi pour quel raison et le service client ne me donne pas de réponse sauf qu'ils vont remonter l'information au service concerner.j'attendais quelque jours avant que l'offre se termine et je recommande le même produit commande n°225148198 tout allais bien mon dossier est accepté par oney.je reçoit encore un email rejet de ma commande je ne comprends rien le produit est disponible et en stock mon dossier est accepté par oney pour quoi le rejet ? ? pareille le service client n ' a pas d'autres réponse que de remonter l'information au service concerner ! je ne commanderai plus chez showroomprivé s'il n'assure pas la disponibilité du produit ou sa livraison et ne veut pas fidéliser ses clients sa ne sert a rien de le mettre en ventre.en attendant je me dirigerai vers d'autres site plus fiable .",1,TrustPilot,ShowRoom,386,1,2021-03-12 00:00:00+00:00
367,"l'histoire commence début décembre 2020 lorsque j'appelle pour la première fois le service client afin de signaler la panne d'un aspirateur ( 89 euros ) acheté en octobre le 13/10/2020 et demander un remboursement ( aspirateur qui ne fait pas du tout son job .. zéro , première déception vu le prix ) .showroomprive m ' a renvoyé vers le fournisseur , se déchargeant de toute responsabilité . c'est le client qui doit prendre contact avec le fournisseur ... je trouve ça très moyen ! comme vous pouvez l'imaginer , le fournisseur m ' a renvoyé auprès du revendeur ( showroom ) , je rappelle le service client de showroom qui me demande un mail avec la réponse du fournisseur . je rappelle le fournisseur puis l'équipe de showroom . cette comédie a duré plusieurs jours ( je travaille , je n'ai évidemment pas que ça à faire ) .entre les délais de traitement , leur incompétence et leur manque de professionnalisme ( on me raccroche dessus ; je dois constamment réexpliquer le problème à chaque appel ) , 2 mois mois se sont finalement écoulés avant que je reçoive un bon de retour pour renvoyer l'appareil . j'ai renvoyé l'appareil le 22/02 dans l'espoir d'avoir mon remboursement le plus vite possible mais à ce jour toujours rien , pas d'appel , pas de nouvelle pourtant le colis est bien arrivé à l'entrepôt . je suis lasse de tout cela , je réclame juste mon remboursement pour ne plus jamais avoir affaire à ces charlatans et m'acheter un nouvel aspirateur ! ! ! vous savez débiter la cb de vos clients à vitesse grand v mais quand il s'agit de solutionner les problèmes et satisfaire vos clients là vous êtes aux abonnés absents . c'est honteux ! ! !",1,TrustPilot,ShowRoom,387,1,2021-03-12 00:00:00+00:00
368,de nombreux échange avec showroom et toujours au même stadeils ne veulent pas reprendre ma paire de chaussure car porté en même temps il faut les porter pour ce rendre compte que une des chaussures est défectueusela couleur noire de la semelle part et devient blanche une semelle blanche et une noire autant dire qu ’ elle sont importablej ’ exige un remboursement et non des bons d ’ achats que je ne me servirais jamais ! ! !,1,TrustPilot,ShowRoom,388,1,2021-03-12 00:00:00+00:00
369,"bonjour , je viens d'écrire mon expérience avec showroom j'ai passé une commande ( n° 218546399 ) en décembre 2020 des adoucissants jusqu ' à tout va bien . la livraison le drame commence je reçois déjà 1 colis sur 2 annonces le colis reçu totalement détruit tout les adoucissants percés , je prend la photo je leur envoie il me réponde qu'il vont me rembourser je me suis dit parfait tout va bien mais c'est à ce moment là que la mésaventure commence . je leur écris un mail pour les prévenir que le compte avec lesquels j'ai payé est clôturé il me demande de leur fournir un courrier pour attesté de la clôture de mon compte ce que je leur fourni pour rien puisqu'il on effectivement le remboursement sur mon compte clôture ... intelligent ça bien évidemment ... et depuis la sa fait 2 mois déjà que je me bat pour récupérer mon argent parce que bien évidemment l'argent qu'il ont envoyé sur mon compte clôture leur a été retourne par ma banque dans la foulée mais il m'envoi des mails bateau veuillez contacter votre banque le remboursement a été effectué etc d'ailleurs pour vous donnez une idée du mensonge de showroom mon compte a été clôturé le 17/12/2020 leur remboursement est partie le 5/01/2021 donc forcément impossible que je l'ai reçu ... du coup ce sont des voleurs et depuis 2 mois je paie leur incompétence sav a fuir . j'espère que cela auras servi à quelqu'un pour ne pas vivre la mm chose que moi .",1,TrustPilot,ShowRoom,389,1,2021-03-12 00:00:00+00:00
370,"il.faufrait quand même faire attention à ce site qui n ' a pas pour objectif de fide liser le client . j'ai acheté de la.vaisselle villeroy & boch et au cours d'un repas 1 an après.j'ai été interpellé par ma sœur de l'absence de l'écusson sur les couteaux . ça été comme une humiliation . acheter de la vaisselle de marque sans écussons autant aller chez ikea.deuxième problème les parfums penhaligon 's . des senteurs.haut de gamme . malheureusement celui que j'achète ne sens rien je le.porte.pendant 1 semaine rien . je contacte le service client une employée aimable s'excuse et me propose 15 euros de bon d'achat . pour plus de 63 € d'achats . je décline et demande un remboursement par mail qui est systématiquement refusé . j'ai perdu de l'argent . j'avais eu ce problème avec un concurrent qui a été très réactif , s'est excusé , et à repris le parfum déjà ouvert pour une enquête qualité . et j'ai été remboursé .j'attendais pareil mais je suis dégoûté de showroomprive vraiment . je vais attendre les soldes et fréquenter les outlets .. showroomprive.com commandes : 220087902 /174121177",1,TrustPilot,ShowRoom,390,1,2021-03-11 00:00:00+00:00
371,"si vous n'avez aucun problème avec votre commande , c'est un bon site ( je n'ai jamais eu de problèmes avant ) . cependant , pour la première fois , j'ai dû renvoyer deux articles ( deux pantalons ) et on me prenait 6.50€ de frais pour le retour . c'est inadmissible quand on voit que la plupart des sites de vente en ligne aujourd'hui propose un renvoi gratuit lorsque un ou plusieurs articles ne conviennent pas . je suis extrêmement déçue et je ne commanderai plus sur ce site puisque celui-ci me demande de payer un quart de ce que m'ont coûté les deux articles pour les renvoyer . sachant que c'est des vêtements , c'est pour moi plus avantageux de les revendre sur vinted ... n'importe quoi .",2,TrustPilot,ShowRoom,391,2,2021-03-10 00:00:00+00:00
372,"bonjour , fuyez ce site 😡 pour vendre pas problème mais si vous avez un problème inadmissible j'ai acheté un rameur d'une valeur supérieure à 300€ que je n'ai jamais pu utiliser car il a déraillé à la première utilisation je contacte le service client qui me dit qui doit contacter le fournisseur pour un retour deux semaines plus tard ont ma donné un rendez-vous je pose ma journée le transporteur n'est jamais venu je recontacte le service client il me dise qu'il faut attendre 72 heures cela fais trois semaines que l'on me donne le même discours j'ai demandé à parler un responsable il en a pas 😤😤 du coup je vais devoir passer par que choisir pour un litige inadmissible vraiment",1,TrustPilot,ShowRoom,392,1,2021-03-10 00:00:00+00:00
373,"bonjour , j ’ ai acheté un meuble tv sur le site showroomprivré et le fournisseur est design industriel.le meuble est en bois imitation noyer comme c ’ est indiqué sur le descriptif mais je m ’ aperçois que les pieds sont en plastique ! ! grosse déception design industriel et showroomprivé ont omis à le préciser dans le descriptif puisque l ’ opératrice m ’ informe tout simplement que rien n ’ est indiqué que les pieds sont en bois .... mais en même temps il n ’ est pas précisé qu ’ ils sont en plastiques et c ’ est important de le noter .",1,TrustPilot,ShowRoom,393,1,2021-03-09 00:00:00+00:00
374,"bonjour je suis cliente de showroomprivé , il y a quelque temps j'ai parrainé un ami et j'ai eu un chèque de parrainage de 12 euroshier soir , j'ai passé une commande vêtements enfants de 40,60 sur le site j'ai donc utilisé le bon de 12 € jusque la tout va bien bon déduit j'en avais pour 28 euros on me demande ou je veux me faire livrer ( qu'une possibilité avec le site , à domicile ) pour 9 euros , ma facture en tout me reviens a 37 eurosdonc tres cher pour une livraison , alors que je n'aurais pas utilisé mon bon j'avais plusieurs choix possible et meme la livraison a domicile bien moins cher a 5 ec'est inadmissible de la part du site on gagne vraiment rien avec ces bon d'achats une honte , ne parrainez plus personnes",1,TrustPilot,ShowRoom,394,1,2021-03-08 00:00:00+00:00
375,"moi j'ai acheté un robot pâtissier kitchencook qui ne fonctionne plus au bout de la troisième utilisation j'ai envoyé un message mais pas de réponse après 15 jours d'attente je retente ce soir , de plus il n ' y a aucun numéro de téléphone pour s expliquer de vive voix et le pire c'est qu'ils ont le culot de ce décerner le prix du meilleur service clientèle .",1,TrustPilot,ShowRoom,395,1,2021-03-08 00:00:00+00:00
376,je doute que la montre guess collection que je viens de recevoir n'est pas authentique . que dois je faire svp ?,1,TrustPilot,ShowRoom,396,1,2021-03-08 00:00:00+00:00
377,"j'ai effectué plusieurs commande sur showroomprivé et j'ai plusieurs fois été déçue : - récemment une poubelle achetée 40€ qui ne fonctionne plus au bout d'un mois seulement ! ! ! le sav lui me répond qu'il n ' y a aucune garantie- 2 moulins peugeot que j'avais acheté pour offrir à noel ( j'avais fait l'erreur de ne pas les sortir de leur emballage avant ) mon amie ouvre son cadeau et s'aperçoit qu'ils sont abimés , mais pas moyen d'obtenir un échange car celà fait plus de 14j bref très déçue je pense ne plus refaire de commande sur ce site , les prix sont les mêmes chez mano mano et ils ont un vrai sav .",1,TrustPilot,ShowRoom,397,1,2021-03-08 00:00:00+00:00
378,"j'ai acheté une table noire et naturel . elle est arrivée blanc et noir . après avoir contacté le service client , après 3 jours , la seule réponse est qu ' '' on va nous contacter '' après relance , réponse téléphonique : on vous recontacte `` dans 78 h '' ! ! à quand la suite et surtout quand y aura t-il quelqu'un qui nous donne une solution au problème ? je veux maintenant qu'on me rembourse et rien d'autre car je n'ai plus confiance et que le retour soit pris en charge par le vendeur cela mettra une fin définitive à mes achats sur ce site .",1,TrustPilot,ShowRoom,398,1,2021-03-07 00:00:00+00:00
379,"nous avons commandé une première fois un iphone reconditionné a+ , lorsque nous l ’ avons reçu il avait une petite rayure sur l ’ écran . nous nous sommes dit que c ’ était un incident puis nous venons de nouveau recommandé un autre iphone reconditionné a+ et là une rayure derrière . toujours quelque chose qui ne va pas ! ! ! je n ’ arrive pas à les contacter . je rejoins certains commentaires ... on ne peut pas faire confiance toujours quelque chose qui ne va pas 😡😡",1,TrustPilot,ShowRoom,399,1,2021-03-06 00:00:00+00:00
380,"si je pouvais ne pas mettre d ’ étoile je le ferais ! service client pathétique , commerciaux ridicules qui ne répondent pas à vous attentes . plateforme qui se fiche totalement de ses clients ils sont là pour se faire des sous ça se voit ! nous ne sommes pas écoutés et surtout personne ne s ’ occupe de votre problème , ils s ’ en foutent royalement qu ’ on est attendu deux mois leurs meubles pour recevoir des produits même pas complets puis nous faire attendre deux mois ! ils vont certainement bien se rappeler de ma commande vu que je ne vais pas me laisser arnaquer par des gens comme ça ! ! pure arnaque !",1,TrustPilot,ShowRoom,400,1,2021-03-06 00:00:00+00:00
381,"( ayoub bonjour je n'ai pas votre mail pour vous envoyer un message car j'ai envoyé un message à votre nom et je n'ai aucune réponse , numero de cmd 215822284 , j'aimerais un remboursement de ses chaussures s'il vous plaît ) paire de bottines achetée 50 € même pas mise trois fois la fermeture éclair est cassée , pas de bonne qualité malheureusement le site ne peux rien faire , produit non éligible au retour , et la réparation qui sera à mes frais en échange vous inquiétez pas je vous donne un bon d'achat de 5 € ! mais quelle honte ! ah ils peuvent faire de la pub ! le site en question que showroomprive continue la collaboration ( jilberto ) bravo de vendre des chaussures aussi chères et de qualité aussi horribles !",1,TrustPilot,ShowRoom,401,1,2021-03-10 00:00:00+00:00
382,"bonjour , j'ai commandé via le site showroomprive des bijoux pour un montant de 76€ nom du vendeur ( bijoux délicats , anciennement perles et cristaux à réception des bijoux , je constate que c'est derrière sont de très mauvaises qualités avec des défauts et que ce n'est pas des cristaux swarovski comme il était indiqué sur le descriptif .. après plusieurs minutes de recherches , je retrouve exactement les mêmes bijoux sur le site chinois aliexpress et cela 10 fois moins chère .. agacé , j'envoie un mail à showroomprive en dénonçant la situation et en expliquant que le partenaire avec qui il travaille , que c'est de la vente mensongère et que c'est surtout de l'escroquerie et pour preuve je leur envoie les photos de mes recherches ou l'on constate bien que les bijoux de leur partenaire proviennent bien d'un site chinois et que la qualité et le prix de leur vendeur sont mensongé .. de suite j'ai eu un retour par mail , qui s'excuser de cette situation en m'indiquant que si je voulais un remboursement il fallait que je retourne les bijoux , je leur informe que j'avais commandé c bijoux pour offrir et que je n'ai pas eu le choix que de les offrir et qu'ils m'en restait 3 sur 6 .. ils me répondent , en m'informent que j'aurais un remboursement uniquement des produits envoyés .. je leur ai dit que cela était inacceptable et que de part leur agissements , qu'ils étaient complice de cette escroquerie ! leur retour et direct `` pas de produit , pas de remboursement '' aussi , malgré avoir dénoncer les agissements de leur partenaire , je vous informe que rien n ' a été fait pour écarter ce vendeur de leur site car je vous confirme que ce vendeur est toujours sur le site showroomprive.cela est honteux ! !",1,TrustPilot,ShowRoom,402,1,2021-03-05 00:00:00+00:00
383,"colis perdu , service client inutile ! après des dizaines de commandes passées chez eux je ne commanderais plus . 50€ de commande et rien au final ! très déçue .. je ne recommande pas du tout .",1,TrustPilot,ShowRoom,403,1,2021-03-05 00:00:00+00:00
384,très réactifs après litige .,5,TrustPilot,ShowRoom,404,5,2021-03-05 00:00:00+00:00
385,"depuis sa mise en cotation en bourse , la recherche du profit financier est au détriment du service . avant la livraison à domicile était de 3,99€ en 2017 contre 5,49€ aujourd'hui . ce n'est pas pour chipoter mais si vous achetez plusieurs articles les frais s'accumulent . la carte `` infinity '' livraison `` en point relais '' et non à domicile à 20€ n'est pas incitative si on est pas un régulier comme sur amazon où il y a d'autres services associés à la livraison à `` domicile '' ou non .",2,TrustPilot,ShowRoom,405,2,2021-03-04 00:00:00+00:00
386,"une belle bande de voleurs aspirateur acheté décembre , 300€ , prélevé rapidement bien entendu .. livraison incomplète , enquête , toujours pas livré .. je relance le service après vente le 03-03-2021. enfin une réponse , qui vient du point relai de dépôt , pas de chez showroom.voleurs .. pas de mail ni de coup de téléphone .. , veuillez attendre encore trois jours pour avoir des nouvelles ... du gros foutage de g.ueulefuyez ce site de voleurs ou on ce contente d'escroquer le client ... et je ne suis pas le seul dans ce cas ...",1,TrustPilot,ShowRoom,406,1,2021-03-04 00:00:00+00:00
387,"je voulais signaler que le site n'était pas sécurisé comme il le prétend . en effet près avoir passé une commande , au moment du paiement ma carte bancaire a été piraté et j'ai été débité de 650€ en plus de ma commande ! ! ! donc attention . c'est fois je n'ai pas été basculé sur ma banque ( sms de sécurité ) ... showroomprive n ' a pas vraisemblablement tenu compte de mon courrier et me renvoie auprès de ma banque . dommage , il faut aussi que le site fasse du ménage au sein de son entreprise ...",1,TrustPilot,ShowRoom,407,1,2021-03-03 00:00:00+00:00
388,"attention , malhonnête ! reçu une parure de lit qui n ’ était pas conforme puisque les coussins étaient différents de ceux qui étaient présentés sur le site . au téléphone on me dit qu ’ on va me rembourser après envoi des photos mais au final on me donne un joli bon d ’ achat de 5€ qui ne correspond même pas aux frais de livraison ! ! ! ! qui nous oblige à racheter et qui en plus a une date de péremption ! ! ! ! ils sont très forts ! il serait plus logique que la moitié de la parure étant non conforme , on me rembourse la moitié de l'achat ! je trouve absolument aberrant et grotesque ce dédommagement de 5€ . de plus attention , des ventes sont faites de produits de basse qualité étrangère sous couvert d ’ une autre appellation . si vous comptez acheter sur ce site , surtout ne regardez que les marques bien connues . attention aussi sur les ventes outlet , ils ne donnent que le nom des grandes marques et pour le reste vous vous retrouvez avec du jennyfer ou etam ... ( ce genre de marque ) qui au niveau prix ne sont pas interessants ( d ’ autant plus que vous devrez payer les frais de livraison , aller et probablement retour ( puisque vêtement non essayé ou article non correspondant à la qualité ... ou autre ) . réfléchissez bien avant d ’ acheter sur ce site car vous risquez d ’ avoir des déconvenues !",1,TrustPilot,ShowRoom,408,1,2021-03-02 00:00:00+00:00
389,"bonjour j'ai acheté un meuble chaussure de chez vente privé.mauvaise surprise dès l'ouverture de l'emballage , deux planches fissurées . meuble de très mauvaise qualité . je l'ai directement jeté à la poubelle .",1,TrustPilot,ShowRoom,409,1,2021-03-01 00:00:00+00:00
390,"service client nullissime si j ’ avais pu j ’ aurais mis zéro étoile . j ’ ai commandé mi janvier une table basse , argent encaissé de suite . puis arrive la livraison enfin la moitié c ’ est à dire les pieds de la table basse . petite attente ... puis plus rien , appel au service client situé je ne sais où qui me dit qu ’ ils vont relancer le transporteur ( la poste ) qui n ’ a jamais reçu le second colis . évidemment comme ils sont nullissimes ils me proposent de retourner le premier colis à déposer au relais colis le plus proche ( 15 bornes ) sans aucun dédommagement . la table est toujours encore en vente sur le site du vendeur ( à un tarif délirant ) qui a d ’ ailleurs fait une deuxième vente sur showroom entre temps et on me dit qu ’ ils sont dans l ’ incapacité de me livrer le second colis . je n ’ aime pas être pris pour un c.n et je ne compte plus commander quoique ce soit chez ces guignols .",1,TrustPilot,ShowRoom,410,1,2021-02-28 00:00:00+00:00
